virus_name	viral_acc	evidence
Mycobacterium phage Doug	NC_051649	NCBI Virus, RefSeq
Mycobacterium phage DRBy19	NC_051650	NCBI Virus, RefSeq
Mycobacterium phage DrDrey	NC_022059	NCBI Virus, RefSeq
Mycobacterium phage Dreamboat	NC_023708	NCBI Virus, RefSeq
Mycobacterium phage DrLupo	NC_048743	RefSeq
Mycobacterium phage DroogsArmy	NC_054789	NCBI Virus, RefSeq
Mycobacterium phage DroogsArmy	NC_054789	RefSeq
Mycobacterium phage DS6A	NC_023744	RefSeq
Mycobacterium phage Dulcie	NC_052429	NCBI Virus, RefSeq
Mycobacterium phage Dumbo	NC_021306	NCBI Virus, RefSeq
Mycobacterium phage Dusk	NC_029079	NCBI Virus, RefSeq
Mycobacterium phage Dylan	NC_022325	RefSeq
Mycobacterium phage DyoEdafos	NC_053511	NCBI Virus, RefSeq
Mycobacterium phage Eagle	HM152766	NCBI Virus, RefSeq
Mycobacterium phage EagleEye	NC_023564	NCBI Virus, RefSeq
Mycobacterium phage Echild	NC_023553	NCBI Virus, RefSeq
Mycobacterium phage Edtherson	NC_029059	NCBI Virus, RefSeq
Mycobacterium phage Eish	NC_051651	NCBI Virus, RefSeq
Mycobacterium phage Ekdilam	NC_051608	NCBI Virus, RefSeq
Mycobacterium phage EleanorGeorge	NC_051652	NCBI Virus, RefSeq
Mycobacterium phage Elph10	JN391441	NCBI Virus, RefSeq
Mycobacterium phage Emerson	KJ567045	NCBI Virus, RefSeq
Mycobacterium phage Emma	NC_051653	NCBI Virus, RefSeq
Mycobacterium phage Empress	NC_051654	NCBI Virus, RefSeq
Mycobacterium phage EmpTee	KJ567044	RefSeq
Mycobacterium phage Enby	NC_051655	NCBI Virus, RefSeq
Mycobacterium phage Enkosi	NC_028936	NCBI Virus, RefSeq
Mycobacterium phage Eponine	NC_051590	NCBI Virus, RefSeq
Mycobacterium phage Equemioh13	NC_028852	NCBI Virus, RefSeq
Mycobacterium phage Eremos	NC_028690	RefSeq
Mycobacterium phage Estave1	NC_026585	NCBI Virus, RefSeq
Mycobacterium phage Estes	NC_053514	NCBI Virus, RefSeq
Mycobacterium phage ET08	NC_013650	RefSeq
Mycobacterium phage EvilGenius	NC_031263	NCBI Virus, RefSeq
Mycobacterium phage Fajezeel	NC_052430	NCBI Virus, RefSeq
Mycobacterium phage Fajezeel	NC_052430	RefSeq
Mycobacterium phage Fameo	NC_054809	NCBI Virus, RefSeq
Mycobacterium phage Fancypants	NC_051656	NCBI Virus, RefSeq
Mycobacterium phage Fang	GU247133	RefSeq
Mycobacterium phage Farber	KM233455	NCBI Virus, RefSeq
Mycobacterium phage Fezzik	JN600672	NCBI Virus, RefSeq
Mycobacterium phage FF47	NC_021063	RefSeq
Mycobacterium phage FF47	NC_021063	RefSeq
Mycobacterium phage Filuzino	NC_051657	NCBI Virus, RefSeq
Mycobacterium phage Findley	NC_051598	NCBI Virus, RefSeq
Mycobacterium phage Finemlucis	NC_053507	NCBI Virus, RefSeq
Mycobacterium phage Firehouse51	NC_051658	NCBI Virus, RefSeq
Mycobacterium phage First	NC_020876	NCBI Virus, RefSeq
Mycobacterium phage First	NC_020876	RefSeq
Mycobacterium phage FirstPlacePfu	NC_051735	NCBI Virus, RefSeq
Mycobacterium phage Fishburne	NC_021302	RefSeq
Mycobacterium phage FlagStaff	NC_028861	NCBI Virus, RefSeq
Mycobacterium phage Flathead	NC_051659	NCBI Virus, RefSeq
Mycobacterium phage Florinda	NC_028889	NCBI Virus, RefSeq
Mycobacterium phage Florinda	NC_028889	RefSeq
Mycobacterium phage FluffyNinja	KP027197	RefSeq
Mycobacterium phage Flux	JQ809701	RefSeq
Mycobacterium phage Fortunato	NC_055714	NCBI Virus, RefSeq
Mycobacterium phage Fowlmouth	NC_048734	RefSeq
Mycobacterium phage Frankie	NC_051660	NCBI Virus, RefSeq
Mycobacterium phage Fredward	NC_022753	NCBI Virus, RefSeq
Mycobacterium phage Fulbright	NC_054453	NCBI Virus, RefSeq
Mycobacterium phage Gadjet	NC_023686	RefSeq
Mycobacterium phage Gadost	KP027198	NCBI Virus, RefSeq
Mycobacterium phage GageAP	NC_052431	NCBI Virus, RefSeq
Mycobacterium phage Gaia	NC_026590	RefSeq
Mycobacterium phage Gail	NC_055858	NCBI Virus, RefSeq
Mycobacterium phage Galactic	NC_051661	NCBI Virus, RefSeq
Mycobacterium phage Gandalph	NC_051662	NCBI Virus, RefSeq
Mycobacterium phage Gardann	NC_031124	NCBI Virus, RefSeq
Mycobacterium phage Gengar	NC_031035	NCBI Virus, RefSeq
Mycobacterium phage Georgie2	NC_054810	NCBI Virus, RefSeq
Mycobacterium phage Geralt	NC_055730	NCBI Virus, RefSeq
Mycobacterium phage Giles	NC_009993	RefSeq
Mycobacterium phage Girr	NC_051663	NCBI Virus, RefSeq
Mycobacterium phage Gizmo	NC_021346	RefSeq
Mycobacterium phage Godines	NC_042050	RefSeq
Mycobacterium phage Godines	NC_042050	RefSeq
Mycobacterium phage Goku	NC_022085	NCBI Virus, RefSeq
Mycobacterium phage Gomashi	KM923970	NCBI Virus, RefSeq
Mycobacterium phage Gorge	NC_051664	NCBI Virus, RefSeq
Mycobacterium phage Graduation	NC_022979	NCBI Virus, RefSeq
Mycobacterium phage GreaseLightnin	NC_051731	NCBI Virus, RefSeq
Mycobacterium phage Grizzly	NC_054442	NCBI Virus, RefSeq
Mycobacterium phage Gumball	NC_011290	RefSeq
Mycobacterium phage Guo1	KJ725374	NCBI Virus, RefSeq
Mycobacterium phage GuuelaD	NC_053508	NCBI Virus, RefSeq
Mycobacterium phage Gyarad	JX649099	RefSeq
Mycobacterium phage Hamulus	NC_022056	RefSeq
Mycobacterium phage HanShotFirst	NC_022975	NCBI Virus, RefSeq
Mycobacterium phage Harley	NC_051665	NCBI Virus, RefSeq
Mycobacterium phage HarryOW	NC_052432	NCBI Virus, RefSeq
Mycobacterium phage Harvey	JF937095	RefSeq
Mycobacterium phage Hawkeye	NC_024209	RefSeq
Mycobacterium phage Heath	NC_055860	NCBI Virus, RefSeq
Mycobacterium phage Heathcliff	KJ194584	NCBI Virus, RefSeq
Mycobacterium phage Hedgerow	JN698991	RefSeq
Mycobacterium phage Heffalump	NC_054811	NCBI Virus, RefSeq
Mycobacterium phage Hegedechwinu	NC_051666	NCBI Virus, RefSeq
Mycobacterium phage Henry	JF937096	RefSeq
Mycobacterium phage Henu3	NC_051589	NCBI Virus, RefSeq
Mycobacterium phage Henu3 PeY-2017	NC_051667	NCBI Virus, RefSeq
Mycobacterium phage Hertubise	JF937097	RefSeq
Mycobacterium phage HH92	KJ538722	RefSeq
Mycobacterium phage HINdeR	NC_021308	NCBI Virus, RefSeq
Mycobacterium phage Hlubikazi	NC_051668	NCBI Virus, RefSeq
Mycobacterium phage Hope	GQ303261	NCBI Virus, RefSeq
Mycobacterium phage Hosp	NC_024145	Literature
Mycobacterium phage HufflyPuff	NC_022981	NCBI Virus, RefSeq
Mycobacterium phage Hurricane	NC_051604	NCBI Virus, RefSeq
Mycobacterium phage HyRo	NC_028869	RefSeq
Mycobacterium phage Ichabod	NC_052433	NCBI Virus, RefSeq
Mycobacterium phage ICleared	NC_054800	NCBI Virus, RefSeq
Mycobacterium phage ILeeKay	NC_052434	NCBI Virus, RefSeq
Mycobacterium phage Imvubu	NC_051586	NCBI Virus, RefSeq
Mycobacterium phage Indlulamithi	NC_048824	RefSeq
Mycobacterium phage Inventum	NC_026596	NCBI Virus, RefSeq
Mycobacterium phage Iracema64	NC_028687	NCBI Virus, RefSeq
Mycobacterium phage IronMan	NC_054814	NCBI Virus, RefSeq
Mycobacterium phage IsaacEli	JN698990	RefSeq
Mycobacterium phage Island3	HM152765	RefSeq
Mycobacterium phage Jabbawokkie	NC_022069	NCBI Virus, RefSeq
Mycobacterium phage JacAttac	NC_023740	RefSeq
Mycobacterium phage JackSparrow	NC_052435	NCBI Virus, RefSeq
Mycobacterium phage JackSparrow	NC_052435	RefSeq
Mycobacterium phage JAMaL	NC_023554	RefSeq
Mycobacterium phage Jamie19	NC_054456	NCBI Virus, RefSeq
Mycobacterium phage Jebeks	NC_041969	RefSeq
Mycobacterium phage Jeeves	NC_055817	NCBI Virus, RefSeq
Mycobacterium phage JewelBug	NC_054780	NCBI Virus, RefSeq
Mycobacterium phage Job42	NC_021538	NCBI Virus, RefSeq
Mycobacterium phage Jobu08	NC_021535	NCBI Virus, RefSeq
Mycobacterium phage Jolie1	NC_023600	Literature
Mycobacterium phage Jolie2	NC_023604	Literature, RefSeq
Mycobacterium phage Jorgensen	NC_052436	NCBI Virus, RefSeq
Mycobacterium phage JoshKayV	NC_054812	NCBI Virus, RefSeq
Mycobacterium phage Jovo	NC_022984	NCBI Virus, RefSeq
Mycobacterium phage Juice456	NC_051670	NCBI Virus, RefSeq
Mycobacterium phage Jung	NC_051730	NCBI Virus, RefSeq
Mycobacterium phage Jung	NC_051730	RefSeq
Mycobacterium phage Kamiyu	JN699018	NCBI Virus, RefSeq
Mycobacterium phage Kampy	NC_024141	NCBI Virus, RefSeq
Mycobacterium phage Kanely	NC_052437	NCBI Virus, RefSeq
Mycobacterium phage KayaCho	NC_022061	RefSeq
Mycobacterium phage Kenuha5	NC_051671	NCBI Virus, RefSeq
Mycobacterium phage Kersh	NC_051672	NCBI Virus, RefSeq
Mycobacterium phage Keshu	NC_026603	NCBI Virus, RefSeq
Mycobacterium phage Kevin1	NC_054451	NCBI Virus, RefSeq
Mycobacterium phage Kikipoo	NC_028907	RefSeq
Mycobacterium phage KilKor	NC_053209	NCBI Virus, RefSeq
Mycobacterium phage Killigrew	NC_052438	NCBI Virus, RefSeq
Mycobacterium phage Kimberlium	NC_028792	NCBI Virus, RefSeq
Mycobacterium phage Kimona	NC_054793	NCBI Virus, RefSeq
Mycobacterium phage Kingsley	NC_051673	NCBI Virus, RefSeq
Mycobacterium phage KingTut	NC_055750	NCBI Virus, RefSeq
Mycobacterium phage KingVeVeVe	KJ538723	RefSeq
Mycobacterium phage KiSi	NC_051619	NCBI Virus, RefSeq
Mycobacterium phage Koella	NC_051674	NCBI Virus, RefSeq
Mycobacterium phage Koko	NC_054782	NCBI Virus, RefSeq
Mycobacterium phage Konstantine	NC_011292	RefSeq
Mycobacterium phage Krakatau	NC_051675	NCBI Virus, RefSeq
Mycobacterium phage Kratio	NC_028947	NCBI Virus, RefSeq
Mycobacterium phage KristaRAM	NC_051676	NCBI Virus, RefSeq
Mycobacterium phage Krueger	NC_051601	NCBI Virus, RefSeq
Mycobacterium phage Krypton555	NC_053505	NCBI Virus, RefSeq
Mycobacterium phage Ksquared	NC_051732	NCBI Virus, RefSeq
Mycobacterium phage Kumao	NC_053512	NCBI Virus, RefSeq
Mycobacterium phage KyMonks1A	NC_052439	NCBI Virus, RefSeq
Mycobacterium phage LadyBird	NC_028744	NCBI Virus, RefSeq
Mycobacterium phage Lamina13	NC_024143	NCBI Virus, RefSeq
Mycobacterium phage Larenn	NC_028877	NCBI Virus, RefSeq
Mycobacterium phage Lasso	KM408320	RefSeq
Mycobacterium phage LastHope	NC_051620	NCBI Virus, RefSeq
Mycobacterium phage LastJedi	NC_051677	NCBI Virus, RefSeq
Mycobacterium phage LaterM	NC_051621	NCBI Virus, RefSeq
Mycobacterium phage Laurie	NC_053503	RefSeq
Mycobacterium phage Lemuria	NC_054446	NCBI Virus, RefSeq
Mycobacterium phage Leo	NC_021556	RefSeq
Mycobacterium phage Leo	NC_021556	NCBI Virus, RefSeq
Mycobacterium phage LeoAvram	NC_054796	NCBI Virus, RefSeq
Mycobacterium phage Leston	NC_051594	NCBI Virus, RefSeq
Mycobacterium phage Lilac	NC_023689	NCBI Virus, RefSeq
Mycobacterium phage LilMcDreamy	NC_051582	NCBI Virus, RefSeq
Mycobacterium phage LilMoolah	NC_055825	NCBI Virus, RefSeq
Mycobacterium phage LinStu	NC_023714	RefSeq
Mycobacterium phage LittleCherry	NC_022086	NCBI Virus, RefSeq
Mycobacterium phage Lizziana	NC_051678	NCBI Virus, RefSeq
Mycobacterium phage Llij	NC_008196	RefSeq
Mycobacterium phage Lolly9	NC_028843	NCBI Virus, RefSeq
Mycobacterium phage Lopton	NC_052440	NCBI Virus, RefSeq
Mycobacterium phage Loser	NC_031256	NCBI Virus, RefSeq
Mycobacterium phage LRRHood	GQ303262	RefSeq
Mycobacterium phage Luchador	NC_028849	NCBI Virus, RefSeq
Mycobacterium phage Lukilu	NC_041901	RefSeq
Mycobacterium phage Lumos	NC_053504	NCBI Virus, RefSeq
Mycobacterium phage MA5	NC_054771	NCBI Virus, RefSeq
Mycobacterium phage Magnar	NC_052441	NCBI Virus, RefSeq
Mycobacterium phage Magnito	NC_052470	NCBI Virus, RefSeq
Mycobacterium phage Magnito	NC_052470	RefSeq
Mycobacterium phage Mahavrat	NC_051679	NCBI Virus, RefSeq
Mycobacterium phage Majeke	NC_051737	NCBI Virus, RefSeq
Mycobacterium phage Makemake	NC_031067	NCBI Virus, RefSeq
Mycobacterium phage Malec	NC_054813	NCBI Virus, RefSeq
Mycobacterium phage Malithi	NC_026605	RefSeq
Mycobacterium phage Manad	NC_024363	RefSeq
Mycobacterium phage Manatee	NC_052442	NCBI Virus, RefSeq
Mycobacterium phage Mangeria	NC_054718	NCBI Virus, RefSeq
Mycobacterium phage Mantra	NC_051680	NCBI Virus, RefSeq
Mycobacterium phage MarkPhew	NC_051622	NCBI Virus, RefSeq
Mycobacterium phage Maroc7	NC_052443	NCBI Virus, RefSeq
Mycobacterium phage MarQuardt	NC_028798	NCBI Virus, RefSeq
Mycobacterium phage Marshawn	NC_051623	NCBI Virus, RefSeq
Mycobacterium phage Marvin	NC_042032	RefSeq
Mycobacterium phage MaryBeth	NC_052444	NCBI Virus, RefSeq
Mycobacterium phage Mattes	NC_051681	NCBI Virus, RefSeq
Mycobacterium phage Medusa	KF024733	NCBI Virus, RefSeq
Mycobacterium phage MeeZee	JN243856	RefSeq
Mycobacterium phage Megiddo	NC_051728	NCBI Virus, RefSeq
Mycobacterium phage Melissauren88	NC_051682	NCBI Virus, RefSeq
Mycobacterium phage Melvin	KF841476	NCBI Virus, RefSeq
Mycobacterium phage Mendokysei	NC_051726	NCBI Virus, RefSeq
Mycobacterium phage Mercurio	NC_054445	NCBI Virus, RefSeq
Mycobacterium phage Methuselah	KC661272	RefSeq
Mycobacterium phage MiaZeal	NC_028953	NCBI Virus, RefSeq
Mycobacterium phage MichelleMyBell	NC_023572	RefSeq
Mycobacterium phage Michley	NC_052445	NCBI Virus, RefSeq
Mycobacterium phage MilleniumForce	NC_051683	NCBI Virus, RefSeq
Mycobacterium phage Milly	NC_026598	NCBI Virus, RefSeq
Mycobacterium phage Mindy	NC_029093	NCBI Virus, RefSeq
Mycobacterium phage Minerva	NC_026584	NCBI Virus, RefSeq
Mycobacterium phage MinionDave	NC_051684	NCBI Virus, RefSeq
Mycobacterium phage Minnie	NC_051685	NCBI Virus, RefSeq
Mycobacterium phage Miramae	NC_054802	NCBI Virus, RefSeq
Mycobacterium phage Misha28	NC_051686	NCBI Virus, RefSeq
Mycobacterium phage MoMoMixon	NC_023733	RefSeq
Mycobacterium phage MooMoo	NC_051721	NCBI Virus, RefSeq
Mycobacterium phage Moonbeam	NC_051687	NCBI Virus, RefSeq
Mycobacterium phage MOOREtheMARYer	NC_028791	NCBI Virus, RefSeq
Mycobacterium phage Morgushi	JN638753	RefSeq
Mycobacterium phage Mosby	KF493883	NCBI Virus, RefSeq
Mycobacterium phage MosMoris	NC_024138	RefSeq
Mycobacterium phage Mova	NC_051688	NCBI Virus, RefSeq
Mycobacterium phage MPlant7149	NC_052446	NCBI Virus, RefSeq
Mycobacterium phage MrMagoo	NC_053515	NCBI Virus, RefSeq
Mycobacterium phage Mryolo	NC_052447	NCBI Virus, RefSeq
Mycobacterium phage Muddy	NC_022054	RefSeq
Mycobacterium phage Mufasa	NC_028759	NCBI Virus, RefSeq
Mycobacterium phage Mulciber	NC_031257	NCBI Virus, RefSeq
Mycobacterium phage Mule	NC_052448	NCBI Virus, RefSeq
Mycobacterium phage Mundrea	NC_054803	NCBI Virus, RefSeq
Mycobacterium phage Murdoc	JN638752	RefSeq
Mycobacterium phage Murphy	NC_021305	NCBI Virus, RefSeq
Mycobacterium phage Murucutumbu	NC_028978	NCBI Virus, RefSeq
Mycobacterium phage MyraDee	NC_054791	NCBI Virus, RefSeq
Mycobacterium phage Myrna	NC_011273	RefSeq
Mycobacterium phage Myrna	NC_011273	NCBI Virus
Mycobacterium phage Naca	NC_054774	NCBI Virus, RefSeq
Mycobacterium phage Nacho	JX649098	RefSeq
Mycobacterium phage Nala	NC_022976	NCBI Virus, RefSeq
Mycobacterium phage Nappy	NC_023725	RefSeq
Mycobacterium phage NEHalo	NC_052449	NCBI Virus, RefSeq
Mycobacterium phage NelitzaMV	NC_028785	NCBI Virus, RefSeq
Mycobacterium phage Nerujay	NC_028928	NCBI Virus, RefSeq
Mycobacterium phage Newman	NC_021310	RefSeq
Mycobacterium phage Nhonho	NC_028815	NCBI Virus, RefSeq
Mycobacterium phage Nhonho	NC_028815	RefSeq
Mycobacterium phage Nibb	NC_051624	NCBI Virus, RefSeq
Mycobacterium phage Nigel	NC_011044	RefSeq
Mycobacterium Phage Niklas	NC_051625	NCBI Virus, RefSeq
Mycobacterium phage Nitzel	NC_051690	NCBI Virus, RefSeq
Mycobacterium phage Nivrat	NC_051691	NCBI Virus, RefSeq
Mycobacterium phage Niza	NC_052450	NCBI Virus, RefSeq
Mycobacterium phage Noelle	NC_054801	NCBI Virus, RefSeq
Mycobacterium phage NoodleTree	NC_054719	NCBI Virus, RefSeq
Mycobacterium phage Nova	JN699014	RefSeq
Mycobacterium phage Numberten	KJ194583	RefSeq
Mycobacterium phage Nyxis	NC_023565	NCBI Virus, RefSeq
Mycobacterium phage Oaker	NC_023578	NCBI Virus, RefSeq
Mycobacterium phage Obama12	NC_023577	RefSeq
Mycobacterium phage Obutu	NC_055812	NCBI Virus, RefSeq
Mycobacterium phage Ochi17	NC_055787	NCBI Virus, RefSeq
Mycobacterium phage Odin	KF017927	NCBI Virus, RefSeq
Mycobacterium phage Ogopogo	NC_051692	NCBI Virus, RefSeq
Mycobacterium phage OhShagHennessy	NC_055918	NCBI Virus, RefSeq
Mycobacterium phage OkiRoe	NC_024366	NCBI Virus, RefSeq
Mycobacterium phage OldBen	NC_051693	NCBI Virus, RefSeq
Mycobacterium phage Oline	NC_023711	RefSeq
Mycobacterium phage Omnicron	NC_028832	NCBI Virus, RefSeq
Mycobacterium phage Oogway	NC_052451	NCBI Virus, RefSeq
Mycobacterium phage Orion	NC_008197	RefSeq
Mycobacterium phage OSmaximus	NC_028803	RefSeq
Mycobacterium phage Ovechkin	NC_028937	NCBI Virus, RefSeq
Mycobacterium phage OwlsT2W	NC_051695	NCBI Virus, RefSeq
Mycobacterium phage PacerPaul	NC_052452	NCBI Virus, RefSeq
Mycobacterium phage Paito	NC_054439	NCBI Virus, RefSeq
Mycobacterium phage Panchino	NC_031281	RefSeq
Mycobacterium phage Paola	NC_051595	NCBI Virus, RefSeq
Mycobacterium phage Papez	NC_031041	NCBI Virus, RefSeq
Mycobacterium phage Papyrus	NC_022053	RefSeq
Mycobacterium phage Pari	NC_028874	NCBI Virus, RefSeq
Mycobacterium phage Patience	NC_023691	RefSeq
Mycobacterium phage Patt	NC_051592	NCBI Virus, RefSeq
Mycobacterium phage PattyP	NC_021297	NCBI Virus, RefSeq
Mycobacterium phage PBI1	NC_008198	RefSeq
Mycobacterium phage PegLeg	NC_021299	NCBI Virus, RefSeq
Mycobacterium phage Pepe	NC_028680	NCBI Virus, RefSeq
Mycobacterium phage Petruchio	NC_052453	NCBI Virus, RefSeq
Mycobacterium phage Phabba	NC_054714	NCBI Virus, RefSeq
Mycobacterium phage Phaded	NC_054815	NCBI Virus, RefSeq
Mycobacterium phage Phaedrus	NC_011057	Literature
Mycobacterium phage Phantastic	NC_024148	NCBI Virus, RefSeq
Mycobacterium phage Pharaoh	NC_054784	NCBI Virus, RefSeq
Mycobacterium phage Phasih	NC_051696	NCBI Virus, RefSeq
Mycobacterium phage PhatBacter	NC_022969	NCBI Virus, RefSeq
Mycobacterium phage Phatniss	NC_028844	NCBI Virus, RefSeq
Mycobacterium phage Phaux	NC_021311	NCBI Virus, RefSeq
Mycobacterium phage Phayonce	NC_028796	RefSeq
Mycobacterium phage Phelemich	NC_022063	NCBI Virus, RefSeq
Mycobacterium phage Philonius	NC_054449	NCBI Virus, RefSeq
Mycobacterium phage Phineas	NC_051733	NCBI Virus, RefSeq
Mycobacterium phage Phipps	NC_028942	RefSeq
Mycobacterium phage phiT46-1	NC_054432	NCBI Virus, RefSeq
Mycobacterium phage Phlei	NC_028662	NCBI Virus, RefSeq
Mycobacterium phage Phlyer	NC_012027	NCBI Virus, RefSeq
Mycobacterium phage Phoxy	KP017310	NCBI Virus, RefSeq
Mycobacterium phage Phrann	NC_031266	RefSeq
Mycobacterium phage Phrappuccino	NC_054727	NCBI Virus, RefSeq
Mycobacterium phage PhrostyMug	NC_022329	NCBI Virus, RefSeq
Mycobacterium phage Phrux	NC_021309	NCBI Virus, RefSeq
Mycobacterium phage Piglet	JX649097	RefSeq
Mycobacterium phage Pinnie	NC_054447	NCBI Virus, RefSeq
Mycobacterium phage Pinto	NC_024368	NCBI Virus, RefSeq
Mycobacterium phage Pio	JN699013	RefSeq
Mycobacterium phage Pioneer	NC_028965	NCBI Virus, RefSeq
Mycobacterium phage Pipefish	NC_008199	RefSeq
Mycobacterium phage Piper2020	NC_051697	NCBI Virus, RefSeq
Mycobacterium phage Pippin	NC_052454	NCBI Virus, RefSeq
Mycobacterium phage Pippin	NC_052454	RefSeq
Mycobacterium phage Pippy	NC_051698	NCBI Virus, RefSeq
Mycobacterium phage Pipsqueak	KP027208	RefSeq
Mycobacterium phage Pipsqueaks	NC_042055	RefSeq
Mycobacterium phage Piro94	NC_028794	NCBI Virus, RefSeq
Mycobacterium phage Pistachio	NC_054773	NCBI Virus, RefSeq
Mycobacterium phage Pita2	NC_052455	NCBI Virus, RefSeq
Mycobacterium phage Pleione	NC_023737	RefSeq
Mycobacterium phage PLot	NC_008200	RefSeq
Mycobacterium phage Plumbus	NC_055909	NCBI Virus, RefSeq
Mycobacterium phage Poenanya	NC_051699	NCBI Virus, RefSeq
Mycobacterium phage Polka14	NC_051700	NCBI Virus, RefSeq
Mycobacterium phage Pollywog	NC_051701	NCBI Virus, RefSeq
Mycobacterium phage Pops	NC_028681	RefSeq
Mycobacterium phage Pops	NC_028681	RefSeq
Mycobacterium phage PopTart	NC_028961	NCBI Virus, RefSeq
Mycobacterium phage Power	KM463009	NCBI Virus, RefSeq
Mycobacterium phage Predator	NC_011039	RefSeq
Mycobacterium phage Priamo	NC_054781	NCBI Virus, RefSeq
Mycobacterium phage Priscilla	NC_051702	NCBI Virus, RefSeq
Mycobacterium phage Prithvi	NC_051626	NCBI Virus, RefSeq
Mycobacterium phage Puhltonio	GQ303264	RefSeq
Mycobacterium phage Purky	NC_051739	NCBI Virus, RefSeq
Mycobacterium phage PurpleHaze	NC_054759	NCBI Virus, RefSeq
Mycobacterium phage QBert	NC_054720	NCBI Virus, RefSeq
Mycobacterium phage Quasimodo	NC_054721	NCBI Virus, RefSeq
Mycobacterium phage Quesadilla	NC_051584	NCBI Virus, RefSeq
Mycobacterium phage Quico	NC_028751	NCBI Virus, RefSeq
Mycobacterium phage Quico	NC_028751	RefSeq
Mycobacterium phage Quink	NC_022330	NCBI Virus, RefSeq
Mycobacterium phage QuinnKiro	KM592966	NCBI Virus, RefSeq
Mycobacterium phage Qyrzula	NC_008204	RefSeq
Mycobacterium phage Rabbs	NC_054441	NCBI Virus, RefSeq
Mycobacterium phage Rajelicia	NC_052456	NCBI Virus, RefSeq
Mycobacterium phage Rakim	JN006062	NCBI Virus, RefSeq
Mycobacterium phage Rando14	NC_051596	NCBI Virus, RefSeq
Mycobacterium phage Raymond7	NC_054448	NCBI Virus, RefSeq
Mycobacterium phage Rebel	NC_054454	NCBI Virus, RefSeq
Mycobacterium phage Redi	NC_023730	RefSeq
Mycobacterium phage Redno2	NC_022066	NCBI Virus, RefSeq
Mycobacterium phage RedRock	NC_025444	RefSeq
Mycobacterium phage Refuge	NC_054786	NCBI Virus, RefSeq
Mycobacterium phage Reindeer	NC_053516	NCBI Virus, RefSeq
Mycobacterium phage Rem711	NC_051725	NCBI Virus, RefSeq
Mycobacterium phage Renaud18	NC_048729	RefSeq
Mycobacterium phage Reprobate	NC_022064	RefSeq
Mycobacterium phage Rey	NC_041971	RefSeq
Mycobacterium phage Rhynn	NC_052457	NCBI Virus, RefSeq
Mycobacterium phage Rhynn	NC_052457	RefSeq
Mycobacterium phage RhynO	NC_023609	NCBI Virus, RefSeq
Mycobacterium phage RidgeCB	NC_023710	RefSeq
Mycobacterium phage Ringer	NC_052458	NCBI Virus, RefSeq
Mycobacterium phage RitaG	NC_051704	NCBI Virus, RefSeq
Mycobacterium phage Rizal	NC_011272	Literature
Mycobacterium phage Rockstar	NC_042036	RefSeq
Mycobacterium phage Rohr	NC_052459	NCBI Virus, RefSeq
Mycobacterium phage RonRayGun	KM591905	NCBI Virus, RefSeq
Mycobacterium phage Rosebush	NC_004684	RefSeq
Mycobacterium phage Royals2015	NC_051705	NCBI Virus, RefSeq
Mycobacterium phage Rufus	NC_028810	NCBI Virus, RefSeq
Mycobacterium phage Ruotula	NC_052460	NCBI Virus, RefSeq
Mycobacterium phage Rutherferd	NC_052461	NCBI Virus, RefSeq
Mycobacterium phage Ryadel	NC_055759	NCBI Virus, RefSeq
Mycobacterium phage Saal	NC_023580	NCBI Virus, RefSeq
Mycobacterium phage Sabertooth	JX307703	RefSeq
Mycobacterium phage Sagefire	NC_052462	NCBI Virus, RefSeq
Mycobacterium phage Saguaro	NC_051583	NCBI Virus, RefSeq
Mycobacterium phage Sandalphon	NC_051706	NCBI Virus, RefSeq
Mycobacterium phage SarFire	NC_022324	RefSeq
Mycobacterium phage SargentShorty9	KF279416	NCBI Virus, RefSeq
Mycobacterium phage SassyB	NC_051707	NCBI Virus, RefSeq
Mycobacterium phage Sauce	NC_054722	NCBI Virus, RefSeq
Mycobacterium phage Sauce	NC_054722	RefSeq
Mycobacterium phage Sbash	NC_026589	RefSeq
Mycobacterium phage Scoot17C	GU247134	RefSeq
Mycobacterium phage Scorpia	NC_054775	NCBI Virus, RefSeq
Mycobacterium phage ScottMcG	NC_011269	Literature
Mycobacterium phage Scowl	NC_052410	NCBI Virus, RefSeq
Mycobacterium phage SDcharge11	KC661274	RefSeq
Mycobacterium phage Seabastian	NC_051708	NCBI Virus, RefSeq
Mycobacterium phage Seabiscuit	NC_024136	NCBI Virus, RefSeq
Mycobacterium phage Seagreen	NC_028813	NCBI Virus, RefSeq
Mycobacterium phage Sebata	NC_041993	RefSeq
Mycobacterium phage Send513	NC_042033	RefSeq
Mycobacterium phage Serendipitous	NC_051587	NCBI Virus, RefSeq
Mycobacterium phage Serendipity	JN006063	RefSeq
Mycobacterium phage Serenity	NC_028932	NCBI Virus, RefSeq
Mycobacterium phage Serpentine	JX649096	RefSeq
Mycobacterium phage Severus	NC_021307	NCBI Virus, RefSeq
Mycobacterium phage Shaka	JF792674	Literature, RefSeq
Mycobacterium phage Shandong1	NC_051602	NCBI Virus, RefSeq
Mycobacterium phage Shauna1	NC_041989	RefSeq
Mycobacterium phage ShedlockHolmes	NC_028846	NCBI Virus, RefSeq
Mycobacterium phage Sheen	NC_028914	NCBI Virus, RefSeq
Mycobacterium phage ShiLan	NC_041988	RefSeq
Mycobacterium phage Shipwreck	NC_031261	NCBI Virus, RefSeq
