host_name	host_taxid	host_tax_rank	host_lineage	find_name	gcfs	new_gcf	assembly_category	assembly_level	find_taxid	find_taxrank	find_lineage
Lacticaseibacillus casei W56	1215914	strain	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lacticaseibacillus; Lacticaseibacillus casei	Lacticaseibacillus casei	['GCF_000829055.1']	GCF_000829055.1	Represent	Complete Genome	1582	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__Lacticaseibacillus casei;t__
Lactiplantibacillus pentosus	1589	species	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactiplantibacillus	Lactiplantibacillus pentosus	['GCF_003641185.1']	GCF_003641185.1	Represent	Complete Genome	1589	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus pentosus;t__
Lactobacillus jensenii	109790	species	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	Lactobacillus jensenii	['GCF_009730255.1', 'GCF_001936235.1', 'GCF_000159335.1']	GCF_009730255.1	Unreference	Complete Genome	109790	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus jensenii;t__
Lactobacillus gasseri ADH	1395514	strain	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; Lactobacillus gasseri	Lactobacillus gasseri	['GCF_000439915.2', 'GCF_020995385.1', 'GCF_020991205.1', 'GCF_020991185.1', 'GCF_017840575.1', 'GCF_017638885.1', 'GCF_017498665.1', 'GCF_013363915.1', 'GCF_902386655.1', 'GCF_002287905.1', 'GCF_002158885.1', 'GCF_000014425.1']	GCF_000439915.2	Unreference	Complete Genome	1596	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri;t__
Lactobacillus helveticus	1587	species	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	Lactobacillus helveticus	['GCF_019443925.1', 'GCF_018408455.1', 'GCF_015709185.1', 'GCF_009498395.1', 'GCF_902386585.1', 'GCF_004114755.1', 'GCF_003955865.1', 'GCF_003610975.1', 'GCF_002849955.1', 'GCF_002849935.1', 'GCF_002849915.1', 'GCF_001746265.1', 'GCF_001702095.1', 'GCF_001308285.1', 'GCF_000961015.1', 'GCF_001006025.1', 'GCF_000525715.1', 'GCF_000422165.1', 'GCF_000165775.1', 'GCF_000189515.1', 'GCF_000015385.1', 'GCA_003814325.1', 'GCA_003814305.1']	GCF_019443925.1	Unreference	Complete Genome	1587	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus helveticus;t__
Lacticaseibacillus casei BL23	543734	strain	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lacticaseibacillus; Lacticaseibacillus casei	Lacticaseibacillus casei	['GCF_000829055.1']	GCF_000829055.1	Represent	Complete Genome	1582	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__Lacticaseibacillus casei;t__
Lactobacillus johnsonii	33959	species	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	Lactobacillus johnsonii	['GCF_014841035.1']	GCF_014841035.1	Represent	Complete Genome	33959	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus johnsonii;t__
Lactococcus lactis	1358	species	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus	Lactococcus lactis	['GCF_020463755.1']	GCF_020463755.1	Represent	Complete Genome	1358	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis;t__
Lactococcus lactis subsp. lactis bv. diacetylactis	44688	strain	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus lactis	Lactococcus lactis subsp. lactis bv. diacetylactis	['GCF_017869415.1', 'GCF_003627395.2', 'GCF_008728875.1', 'GCF_002148215.1']	GCF_017869415.1	Unreference	Complete Genome	44688	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis;t__Lactococcus lactis subsp. lactis
Lactococcus cremoris	1359	species	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus	Lactococcus cremoris	['GCF_000468955.1']	GCF_000468955.1	Represent	Complete Genome	1359	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus cremoris;t__
Lactococcus lactis subsp. lactis	1360	subspecies	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus lactis	Lactococcus lactis subsp. lactis	['GCF_022494905.1', 'GCF_016920995.1', 'GCF_017869415.1', 'GCF_017821195.1', 'GCF_016952955.1', 'GCF_016921015.1', 'GCF_015476255.1', 'GCF_013395015.3', 'GCF_003627395.2', 'GCF_013395015.2', 'GCF_013395015.1', 'GCF_008728875.1', 'GCF_002078615.2', 'GCF_002078475.2', 'GCF_002078995.2', 'GCF_002078975.2', 'GCF_003176835.1', 'GCF_000479375.3', 'GCF_002895225.1', 'GCF_002804285.1', 'GCF_002804185.1', 'GCF_002148215.1', 'GCF_002078855.1', 'GCF_002078615.1', 'GCF_002078475.1', 'GCF_002078995.1', 'GCF_002078975.1', 'GCF_002078495.1', 'GCF_002078435.1', 'GCF_002078415.1', 'GCF_900088425.1', 'GCF_000479375.2', 'GCF_000807375.1', 'GCF_000478255.1', 'GCF_000479375.1', 'GCF_000344575.1', 'GCF_000192705.1', 'GCF_000025045.1', 'GCF_000006865.1', 'GCA_002078395.2', 'GCA_002078455.2', 'GCA_002078455.1', 'GCA_002078395.1']	GCF_022494905.1	Unreference	Complete Genome	1360	subspecies	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis;t__Lactococcus lactis subsp. lactis
Lactococcus lactis subsp. lactis Il1403	272623	strain	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus lactis; Lactococcus lactis subsp. lactis	Lactococcus lactis subsp. lactis Il1403	['GCF_000006865.1']	GCF_000006865.1	Unreference	Complete Genome	272623	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis;t__Lactococcus lactis subsp. lactis Il1403
Lactococcus garvieae	1363	species	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus	Lactococcus garvieae	['GCF_016026695.1']	GCF_016026695.1	Represent	Complete Genome	1363	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus garvieae;t__
Lactococcus garvieae Lg2	420890	strain	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus garvieae	Lactococcus garvieae Lg2	['GCF_000269945.1']	GCF_000269945.1	Unreference	Complete Genome	420890	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus garvieae;t__Lactococcus garvieae Lg2
Lactococcus cremoris subsp. cremoris	2816960	subspecies	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus cremoris	Lactococcus cremoris subsp. cremoris	['GCF_000468955.1']	GCF_000468955.1	Represent	Complete Genome	2816960	subspecies	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus cremoris;t__Lactococcus cremoris subsp. cremoris
Lactococcus lactis subsp. cremoris MG1363	416870	strain	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus cremoris; Lactococcus cremoris subsp. cremoris	Lactococcus lactis subsp. cremoris MG1363	['GCF_000009425.1']	GCF_000009425.1	Unreference	Complete Genome	416870	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus cremoris;t__Lactococcus lactis subsp. cremoris MG1363
Leclercia adecarboxylata	83655	species	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Leclercia	Leclercia adecarboxylata	['GCF_001518835.1']	GCF_001518835.1	Represent	Complete Genome	83655	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Leclercia;s__Leclercia adecarboxylata;t__
Leptospira biflexa	172	species	Bacteria; Spirochaetes; Spirochaetia; Leptospirales; Leptospiraceae; Leptospira	Leptospira biflexa	['GCF_000017685.1']	GCF_000017685.1	Represent	Complete Genome	172	species	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__Leptospira biflexa;t__
Leuconostoc mesenteroides	1245	species	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Leuconostoc	Leuconostoc mesenteroides	['GCF_009913915.1']	GCF_009913915.1	Represent	Complete Genome	1245	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides;t__
Oenococcus oeni	1247	species	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Oenococcus	Oenococcus oeni	['GCF_002966535.1']	GCF_002966535.1	Represent	Complete Genome	1247	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Oenococcus;s__Oenococcus oeni;t__
Leuconostoc pseudomesenteroides	33968	species	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Leuconostoc	Leuconostoc pseudomesenteroides	['GCF_016127255.1']	GCF_016127255.1	Represent	Complete Genome	33968	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc pseudomesenteroides;t__
Leuconostoc mesenteroides subsp. dextranicum	33966	subspecies	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Leuconostoc; Leuconostoc mesenteroides	Leuconostoc mesenteroides subsp. dextranicum	['GCF_001047695.1']	GCF_001047695.1	Unreference	Complete Genome	33966	subspecies	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides;t__Leuconostoc mesenteroides subsp. dextranicum
Leuconostoc mesenteroides subsp. mesenteroides	33967	subspecies	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Leuconostoc; Leuconostoc mesenteroides	Leuconostoc mesenteroides subsp. mesenteroides	['GCF_009676745.1', 'GCF_002148235.1', 'GCF_002117185.1', 'GCF_002009375.1', 'GCF_001583825.1', 'GCF_000234825.3', 'GCF_000234825.2', 'GCF_000234825.1', 'GCF_000014445.1']	GCF_009676745.1	Unreference	Complete Genome	33967	subspecies	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides;t__Leuconostoc mesenteroides subsp. mesenteroides
Candidatus Liberibacter asiaticus str. psy62	537021	strain	Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Liberibacter; Candidatus Liberibacter asiaticus	Candidatus Liberibacter asiaticus str. psy62	['GCF_000023765.2', 'GCF_000023765.1']	GCF_000023765.2	Unreference	Complete Genome	537021	strain	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Liberibacter;s__Candidatus Liberibacter asiaticus;t__Candidatus Liberibacter asiaticus str. psy62
Candidatus Liberibacter asiaticus	34021	species	Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Liberibacter	Candidatus Liberibacter asiaticus	['GCF_002216815.1']	GCF_002216815.1	Represent	Complete Genome	34021	species	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Liberibacter;s__Candidatus Liberibacter asiaticus;t__
Listeria monocytogenes	1639	species	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria	Listeria monocytogenes	['GCF_000196035.1']	GCF_000196035.1	Reference	Complete Genome	1639	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;g__Listeria;s__Listeria monocytogenes;t__
Listeria monocytogenes EGD-e	169963	strain	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria; Listeria monocytogenes	Listeria monocytogenes EGD-e	['GCF_000196035.1']	GCF_000196035.1	Reference	Complete Genome	169963	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;g__Listeria;s__Listeria monocytogenes;t__Listeria monocytogenes EGD-e
Listeria monocytogenes WSLC1042	1457188	strain	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria; Listeria monocytogenes	Listeria monocytogenes WSLC1042	['GCF_000568935.1']	GCF_000568935.1	Unreference	Complete Genome	1457188	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;g__Listeria;s__Listeria monocytogenes;t__Listeria monocytogenes WSLC1042
Listeria monocytogenes FSL J1-208	393119	strain	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria; Listeria monocytogenes	Listeria monocytogenes FSL J1-208	['GCF_014843315.1', 'GCF_000250715.1']	GCF_014843315.1	Unreference	Complete Genome	393119	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;g__Listeria;s__Listeria monocytogenes;t__Listeria monocytogenes FSL J1-208
Listeria monocytogenes serotype 4b str. F2365	265669	strain	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria; Listeria monocytogenes; Listeria monocytogenes serotype 4b	Listeria monocytogenes serotype 4b str. F2365	['GCF_000008285.1']	GCF_000008285.1	Unreference	Complete Genome	265669	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;g__Listeria;s__Listeria monocytogenes;t__Listeria monocytogenes serotype 4b str. F2365
Mannheimia haemolytica	75985	species	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Mannheimia	Mannheimia haemolytica	['GCF_002285575.1']	GCF_002285575.1	Represent	Complete Genome	75985	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Mannheimia;s__Mannheimia haemolytica;t__
Marinomonas mediterranea	119864	species	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Oceanospirillaceae; Marinomonas	Marinomonas mediterranea	['GCF_000192865.1']	GCF_000192865.1	Represent	Complete Genome	119864	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae;g__Marinomonas;s__Marinomonas mediterranea;t__
Mesorhizobium loti	381	species	Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Phyllobacteriaceae; Mesorhizobium	Mesorhizobium loti	['GCF_014189435.1', 'GCF_013170865.1', 'GCF_013170845.1', 'GCF_013170705.1', 'GCF_001676765.1', 'GCF_002356515.1']	GCF_014189435.1	Unreference	Complete Genome	381	species	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Mesorhizobium;s__Mesorhizobium loti;t__
Methanothermobacter thermautotrophicus	145262	species	Archaea; Euryarchaeota; Methanomada group; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanothermobacter	Methanothermobacter thermautotrophicus	['GCF_000008645.1']	GCF_000008645.1	Represent	Complete Genome	145262	species	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter;s__Methanothermobacter thermautotrophicus;t__
Methanothermobacter wolfeii	145261	species	Archaea; Euryarchaeota; Methanomada group; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanothermobacter	Methanothermobacter wolfeii	['GCF_900095815.1']	GCF_900095815.1	Unreference	Complete Genome	145261	species	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter;s__Methanothermobacter wolfeii;t__
Microbacterium foliorum	104336	species	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Micrococcales; Microbacteriaceae; Microbacterium	Microbacterium foliorum	['GCF_003367705.1']	GCF_003367705.1	Represent	Complete Genome	104336	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium foliorum;t__
Microbacterium paraoxydans	199592	species	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Micrococcales; Microbacteriaceae; Microbacterium	Microbacterium paraoxydans	['GCF_900105335.1']	GCF_900105335.1	Represent	Chromosome	199592	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium paraoxydans;t__
Microbacterium oxydans	82380	species	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Micrococcales; Microbacteriaceae; Microbacterium	Microbacterium oxydans	['GCF_004000565.1', 'GCF_003991855.1']	GCF_004000565.1	Unreference	Complete Genome	82380	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium oxydans;t__
Microcystis aeruginosa	1126	species	Bacteria; Terrabacteria group; Cyanobacteria/Melainabacteria group; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Microcystaceae; Microcystis	Microcystis aeruginosa	['GCF_021172085.1', 'GCF_019704275.1', 'GCF_010196425.1', 'GCF_009792235.1', 'GCF_000981785.2', 'GCF_001704955.2', 'GCF_002095975.1', 'GCF_001704955.1', 'GCF_000981785.1', 'GCF_000010625.1', 'GCA_020905635.1']	GCF_021172085.1	Unreference	Complete Genome	1126	species	k__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Microcystaceae;g__Microcystis;s__Microcystis aeruginosa;t__
Morganella morganii	582	species	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Morganellaceae; Morganella	Morganella morganii	['GCF_902387845.1']	GCF_902387845.1	Represent	Complete Genome	582	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Morganella;s__Morganella morganii;t__
Mycolicibacterium smegmatis MC2 155	246196	strain	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	Mycolicibacterium smegmatis MC2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	246196	strain	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155
Mycolicibacterium smegmatis	1772	species	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium	Mycolicibacterium smegmatis	['GCF_013349145.1']	GCF_013349145.1	Represent	Chromosome	1772	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__
Mycobacteroides abscessus	36809	species	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycobacteroides	Mycobacteroides abscessus	['GCF_004028015.1']	GCF_004028015.1	Represent	Complete Genome	36809	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacteroides;s__Mycobacteroides abscessus;t__
Mycobacteroides abscessus subsp. bolletii	319705	subspecies	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycobacteroides; Mycobacteroides abscessus	Mycobacteroides abscessus subsp. bolletii	['GCF_017183915.1', 'GCF_003609715.1', 'GCF_000445035.1']	GCF_017183915.1	Unreference	Complete Genome	319705	subspecies	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacteroides;s__Mycobacteroides abscessus;t__Mycobacteroides abscessus subsp. bolletii
Mycobacteroides abscessus subsp. bolletii F1725	1168066	strain	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycobacteroides; Mycobacteroides abscessus; Mycobacteroides abscessus subsp. bolletii	Mycobacteroides abscessus subsp. bolletii	['GCF_017183915.1', 'GCF_003609715.1', 'GCF_000445035.1']	GCF_017183915.1	Unreference	Complete Genome	319705	subspecies	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacteroides;s__Mycobacteroides abscessus;t__Mycobacteroides abscessus subsp. bolletii
Mycobacterium tuberculosis	1773	species	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex	Mycobacterium tuberculosis	['GCF_000195955.2']	GCF_000195955.2	Reference	Complete Genome	1773	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium tuberculosis;t__
Mycolicibacterium vaccae	1810	species	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium	Mycolicibacterium vaccae	['GCF_001655245.1']	GCF_001655245.1	Represent	Complete Genome	1810	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium vaccae;t__
Mycobacterium avium subsp. paratuberculosis	1770	subspecies	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium avium complex (MAC); Mycobacterium avium	Mycobacterium avium subsp. paratuberculosis	['GCF_016749935.1', 'GCF_000219085.2', 'GCF_013357385.1', 'GCF_003957335.1', 'GCF_003816035.1', 'GCF_003815815.1', 'GCF_003815795.1', 'GCF_003713045.1', 'GCF_003713025.1', 'GCF_002208705.2', 'GCF_002208705.1', 'GCF_001653355.1', 'GCF_000835265.1', 'GCF_000835225.1', 'GCF_000390085.1', 'GCF_000007865.1', 'GCA_909129705.2', 'GCA_909129595.2', 'GCA_909128855.2', 'GCA_909129805.2', 'GCA_002232005.2', 'GCF_002211525.1']	GCF_016749935.1	Unreference	Complete Genome	1770	subspecies	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium avium;t__Mycobacterium avium subsp. paratuberculosis
Mycobacterium avium subsp. paratuberculosis ATCC 19698	1074454	strain	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium avium complex (MAC); Mycobacterium avium; Mycobacterium avium subsp. paratuberculosis	Mycobacterium avium subsp. paratuberculosis	['GCF_016749935.1', 'GCF_000219085.2', 'GCF_013357385.1', 'GCF_003957335.1', 'GCF_003816035.1', 'GCF_003815815.1', 'GCF_003815795.1', 'GCF_003713045.1', 'GCF_003713025.1', 'GCF_002208705.2', 'GCF_002208705.1', 'GCF_001653355.1', 'GCF_000835265.1', 'GCF_000835225.1', 'GCF_000390085.1', 'GCF_000007865.1', 'GCA_909129705.2', 'GCA_909129595.2', 'GCA_909128855.2', 'GCA_909129805.2', 'GCA_002232005.2', 'GCF_002211525.1']	GCF_016749935.1	Unreference	Complete Genome	1770	subspecies	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium avium;t__Mycobacterium avium subsp. paratuberculosis
Mycolicibacterium phlei	1771	species	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium	Mycolicibacterium phlei	['GCF_900637085.1', 'GCF_001583415.1']	GCF_900637085.1	Unreference	Complete Genome	1771	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium phlei;t__
Mycobacterium avium	1764	species	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium avium complex (MAC)	Mycobacterium avium	['GCF_022175585.1', 'GCF_021183805.1', 'GCF_020735405.1', 'GCF_020735285.1', 'GCF_002716965.3', 'GCF_002716925.3', 'GCF_002304065.2', 'GCF_016749935.1', 'GCF_004345205.2', 'GCF_000219085.2', 'GCF_002716905.3', 'GCF_001865635.4', 'GCF_013357385.1', 'GCF_009741445.1', 'GCF_009002535.1', 'GCF_001865635.3', 'GCF_005518055.1', 'GCF_005518035.1', 'GCF_005518015.1', 'GCF_002716965.2', 'GCF_002716925.2', 'GCF_002716905.2', 'GCF_004345205.1', 'GCF_003957335.1', 'GCF_003816035.1', 'GCF_003815815.1', 'GCF_003815795.1', 'GCF_003713045.1', 'GCF_003713025.1', 'GCF_003640565.1', 'GCF_003408535.1', 'GCF_002208705.2', 'GCF_001865635.2', 'GCF_002716965.1', 'GCF_002716925.1', 'GCF_002716905.1', 'GCF_002208705.1', 'GCF_001936215.1', 'GCF_001865635.1', 'GCF_001683455.1', 'GCF_001653355.1', 'GCF_000829075.1', 'GCF_000835265.1', 'GCF_000835225.1', 'GCF_000390085.1', 'GCF_000014985.1', 'GCF_000007865.1', 'GCA_909129705.2', 'GCA_909129595.2', 'GCA_909128855.2', 'GCA_909129805.2', 'GCA_002716965.3', 'GCA_002232005.2', 'GCA_002716905.3', 'GCA_003122745.2', 'GCF_021183845.1', 'GCF_020227575.1', 'GCF_020227555.1', 'GCF_002211525.1']	GCF_022175585.1	Unreference	Complete Genome	1764	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium avium;t__
