virus_name	refseq_id	virus_taxid	virus_lineage	evidence	host_name	host_taxid	host_lineage	host_rank
Klebsiella phage AltoGao	NC_047849	2026943	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Drulisvirus;s__Klebsiella virus AltoGao;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage GH-K3	NC_048162	2419608	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Drexlerviridae;g__Webervirus;s__Klebsiella virus GHK3;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage GML-KpCol1	NC_047907	2060945	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Drexlerviridae;g__Webervirus;s__Klebsiella virus KpCol1;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage Henu1	NC_048138	2492437	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Przondovirus;s__Klebsiella virus Henu1;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage JD001	NC_020204	1236000	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Jedunavirus;s__Klebsiella virus JD001;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage JD18	NC_028686	1698360	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Jiaodavirus;s__Klebsiella virus JD18;t__	Literature	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage JY917	NC_049843	2099585	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Drexlerviridae;g__Webervirus;s__Klebsiella virus JY917;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage K11	NC_011043	532077	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Przondovirus;s__Klebsiella virus K11;t__	RefSeq	Klebsiella sp. 390	1497796	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella sp. 390;t__	species
Klebsiella phage K5	NC_028800	1647374	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Przondovirus;s__Klebsiella virus K5;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage K5-2	NC_047798	1932361	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Przondovirus;s__Klebsiella virus K5-2;t__	RefSeq	Klebsiella pneumoniae subsp. ozaenae	574	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__Klebsiella pneumoniae subsp. ozaenae	subspecies
Klebsiella phage K5-4	NC_047799	1932362	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Przondovirus;s__Klebsiella virus K5-4;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage K64-1	NC_027399	1439894	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Alcyoneusvirus;s__Klebsiella virus K64-1;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage KL	NC_049838	2608376	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Drexlerviridae;g__Webervirus;s__Klebsiella virus KL;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage KLPN1	NC_028760	1647408	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Drexlerviridae;g__Webervirus;s__Klebsiella virus KLPN1;t__	RefSeq	Klebsiella pneumoniae subsp. pneumoniae	72407	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__Klebsiella pneumoniae subsp. pneumoniae	subspecies
Klebsiella phage KN1-1	NC_048129	2282629	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Przondovirus;s__Klebsiella virus KN1-1;t__	RefSeq	Klebsiella sp.	576	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella sp.;t__	species
Klebsiella phage KN3-1	NC_048131	2282630	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Przondovirus;s__Klebsiella virus KN3-1;t__	RefSeq	Klebsiella sp.	576	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella sp.;t__	species
Klebsiella phage KN4-1	NC_048130	2282631	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Przondovirus;s__Klebsiella virus KN4-1;t__	RefSeq	Klebsiella sp.	576	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella sp.;t__	species
Klebsiella phage KNP2	NC_048647	1871716	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Mydovirus;s__Klebsiella virus KNP2;t__	RefSeq	Klebsiella sp.	576	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella sp.;t__	species
Klebsiella phage KOX1	NC_047825	1970798	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Drexlerviridae;g__Webervirus;s__Klebsiella virus KOX1;t__	RefSeq	Klebsiella oxytoca	571	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella oxytoca;t__	species
Klebsiella phage KP-Rio/2015	NC_047779	1904925	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Drulisvirus;s__Klebsiella virus KPRio2015;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage KP15	NC_014036	707757	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Slopekvirus;s__Klebsiella virus KP15;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage KP179	NC_055768	2315700	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Jiaodavirus;s__Klebsiella phage KP179;t__	NCBI Virus, RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage Kp2	NC_028664	1701805	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Drulisvirus;s__Klebsiella virus Kp2;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage KP27	NC_020080	1129147	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Slopekvirus;s__Klebsiella virus KP27;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage KP32	NC_013647	674082	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Przondovirus;s__Klebsiella virus KP32;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage KP34	NC_013649	674081	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Drulisvirus;s__Klebsiella virus KP34;t__	Literature, RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage KP36	NC_029099	1129191	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Drexlerviridae;g__Webervirus;s__Klebsiella virus KP36;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage KP8	NC_048700	2099850	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Schitoviridae;g__Kaypoctavirus;s__Klebsiella virus KP8;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage KpCHEMY26	NC_049467	2596966	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Schitoviridae;g__Pylasvirus;s__Klebsiella virus KpCHEMY26;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage KpKT21phi1	NC_048143	2500828	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Drexlerviridae;g__Webervirus;s__Klebsiella virus KpKT21phi1;t__	Literature, RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage KPN N137	NC_048670	2024238	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Yonseivirus;s__Klebsiella virus N137;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage KPN N141	NC_047841	2024239	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Drexlerviridae;g__Webervirus;s__Klebsiella virus KPN N141;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage KPN N98	NC_052987	2079340	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Yonseivirus;s__Klebsiella virus N137;t__	NCBI Virus, RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage KPN U2874	NC_052988	2024241	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Yonseivirus;s__Klebsiella virus N137;t__	NCBI Virus, RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage Kpn112	KJ021043	1481110	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Jedunavirus;s__Klebsiella phage Kpn112;t__	NCBI Virus, RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage kpssk3	NC_048114	2488949	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Przondovirus;s__Klebsiella virus kpssk3;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage KPV15	NC_055715	1913572	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Jiaodavirus;s__Klebsiella phage KPV15;t__	NCBI Virus, RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage KpV41	NC_028670	1747282	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Drulisvirus;s__Klebsiella virus KpV41;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage KpV475	NC_031025	1852657	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Drulisvirus;s__Klebsiella virus KpV475;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage KpV71	NC_031246	1796998	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Drulisvirus;s__Klebsiella virus KpV71;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage KPV811	NC_047787	1913574	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Drulisvirus;s__Klebsiella virus KPV811;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage LASTA	NC_054965	2723758	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Podoviridae;g__Lastavirus;s__Klebsiella virus LASTA;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage Magnus	NC_049462	2589660	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Ackermannviridae;g__Taipeivirus;s__Klebsiella virus Magnus;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage Marfa	NC_048798	2587809	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Marfavirus;s__Klebsiella virus Marfa;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage Matisse	NC_028750	1675607	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Slopekvirus;s__Klebsiella virus Matisse;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage May	NC_047900	2054272	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Ackermannviridae;g__Taipeivirus;s__Klebsiella virus May;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage Menlow	NC_047901	2054273	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Ackermannviridae;g__Taipeivirus;s__Klebsiella virus Menlow;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage MezzoGao	NC_047850	2026950	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Drexlerviridae;g__Webervirus;s__Klebsiella virus MezzoGao;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage Mineola	NC_055748	2234047	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Jiaodavirus;s__Klebsiella virus JD18;t__	NCBI Virus, RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage Miro	NC_041981	1675608	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Slopekvirus;s__Klebsiella virus Miro;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage myPSH1235	NC_047944	2099390	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Drulisvirus;s__Klebsiella virus myPSH1235;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage NJR15	NC_048044	2301687	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Drexlerviridae;g__Webervirus;s__Klebsiella virus TAH8;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage NJS1	NC_048024	2268610	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Drexlerviridae;g__Webervirus;s__Klebsiella virus NJS1;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage NJS2	NC_048043	2301688	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Drexlerviridae;g__Webervirus;s__Klebsiella virus NJS2;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage NTUH-K2044-K1-1	NC_025418	1194091	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Drulisvirus;s__Klebsiella virus K244;t__	Literature	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage NTUH-K2044-K1-1	NC_025418	1194091	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Drulisvirus;s__Klebsiella virus K244;t__	Literature	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	484021	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	strain
Klebsiella phage Pharr	NC_048175	2562178	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Przondovirus;s__Klebsiella virus Pharr;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage phiBO1E	NC_047748	1555207	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Drulisvirus;s__Klebsiella virus BO1E;t__	RefSeq	Klebsiella pneumoniae subsp. pneumoniae KKBO-1	1384549	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__Klebsiella pneumoniae subsp. pneumoniae KKBO-1	strain
Klebsiella phage phiKO2	NC_005857	255431	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__;s__Klebsiella phage phiKO2;t__	NCBI Virus, RefSeq	Klebsiella oxytoca	571	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella oxytoca;t__	species
Klebsiella phage PhiKpNIH-2	NC_049845	2689114	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Drexlerviridae;g__Webervirus;s__Klebsiella virus PhiKpNIH2;t__	RefSeq	Klebsiella pneumoniae subsp. pneumoniae KPNIH1	1087440	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__Klebsiella pneumoniae subsp. pneumoniae KPNIH1	strain
Klebsiella phage phiKpS2	NC_047857	1897515	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Drulisvirus;s__Klebsiella virus KpS2;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage PKO111	NC_031095	1654928	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Jiaodavirus;s__Klebsiella virus PKO111;t__	RefSeq	Klebsiella oxytoca	571	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella oxytoca;t__	species
Klebsiella phage PKP126	NC_031053	1654927	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Drexlerviridae;g__Webervirus;s__Klebsiella virus PKP126;t__	RefSeq	Klebsiella pneumoniae KCTC 2242	1049565	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__Klebsiella pneumoniae KCTC 2242	strain
Klebsiella phage Pylas	NC_049444	2419682	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Schitoviridae;g__Pylasvirus;s__Klebsiella virus Pylas;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage RAD2	NC_055956	2831671	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Drexlerviridae;g__Webervirus;s__Klebsiella phage RAD2;t__	Literature	Klebsiella pneumoniae subsp. pneumoniae CIP 52.145 = B5055	1205678	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__Klebsiella pneumoniae subsp. pneumoniae CIP 52.145 = B5055	strain
Klebsiella phage Seifer	NC_048732	2315475	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Yonseivirus;s__Klebsiella virus Seifer;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
Klebsiella phage SH-Kp 152234	NC_047980	1958964	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Przondovirus;s__Klebsiella virus SHKp152234;t__	RefSeq	Klebsiella pneumoniae	573	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__	species
